symbol,timestamp,price,future_timestamp,price_at_future_timestamp,30_day_hourly_future_return
AAVE,2024-01-15 13:00:00,102.18178242911188,2024-02-14 13:00:00,91.1675438468588,-10.779062882264896
AAVE,2024-01-15 14:00:00,101.7618162199221,2024-02-14 14:00:00,91.9154475852069,-9.675897110008094
AAVE,2024-01-15 15:00:00,101.32252477120964,2024-02-14 15:00:00,91.4259703637888,-9.767378408471025
AAVE,2024-01-15 16:00:00,101.3905287978385,2024-02-14 16:00:00,90.9238371330248,-10.323145355798587
AAVE,2024-01-15 17:00:00,102.20952034281235,2024-02-14 17:00:00,90.39207280719924,-11.56198316553801
AAVE,2024-01-15 18:00:00,102.6946522034739,2024-02-14 18:00:00,90.14816579954513,-12.2172733776534
AAVE,2024-01-15 19:00:00,102.48978975771831,2024-02-14 19:00:00,90.53444076560348,-11.664917081376393
AAVE,2024-01-15 20:00:00,102.5158821772593,2024-02-14 20:00:00,90.836809547874,-11.392451960947009
AAVE,2024-01-15 21:00:00,102.0576591348618,2024-02-14 21:00:00,90.54025964200687,-11.285188775136918
AAVE,2024-01-15 22:00:00,101.98844094421996,2024-02-14 22:00:00,90.8470862070214,-10.924134768656813
AAVE,2024-01-15 23:00:00,101.94186626925485,2024-02-14 23:00:00,90.59163871890983,-11.134019775904557
AAVE,2024-01-16 00:00:00,101.93414904938297,2024-02-15 00:00:00,91.80126977821648,-9.940612999336972
AAVE,2024-01-16 01:00:00,103.37800701317497,2024-02-15 01:00:00,91.45528469880252,-11.53313229655604
AAVE,2024-01-16 02:00:00,104.31644197836653,2024-02-15 02:00:00,91.0509750597309,-12.716563819715649
AAVE,2024-01-16 03:00:00,106.61802649057546,2024-02-15 03:00:00,91.19562194646592,-14.465100369751086
AAVE,2024-01-16 04:00:00,107.38968107005974,2024-02-15 04:00:00,91.40416796825428,-14.88552060358266
AAVE,2024-01-16 05:00:00,106.54537653154206,2024-02-15 05:00:00,91.16275315133151,-14.437626371949253
AAVE,2024-01-16 06:00:00,105.66842754375146,2024-02-15 06:00:00,89.84411933374241,-14.975436445722709
AAVE,2024-01-16 07:00:00,105.70185538158132,2024-02-15 07:00:00,91.14310528423208,-13.77341016843317
AAVE,2024-01-16 08:00:00,105.93529922963326,2024-02-15 08:00:00,91.45980247816122,-13.664469592986064
AAVE,2024-01-16 09:00:00,106.44303294244496,2024-02-15 09:00:00,92.04096111347047,-13.530309528817973
AAVE,2024-01-16 10:00:00,106.67460371379649,2024-02-15 10:00:00,92.92039458033258,-12.893611651341
AAVE,2024-01-16 11:00:00,106.03667849735456,2024-02-15 11:00:00,92.55609085485573,-12.71313646705291
AAVE,2024-01-16 12:00:00,105.83560348703298,2024-02-15 12:00:00,92.32938821646172,-12.761504470682256
AAVE,2024-01-16 13:00:00,105.42062643930298,2024-02-15 13:00:00,92.73593249612522,-12.032459274448637
AAVE,2024-01-16 14:00:00,103.82636708180952,2024-02-15 14:00:00,93.26519244392962,-10.171958178560047
AAVE,2024-01-16 15:00:00,104.43983152501032,2024-02-15 15:00:00,92.63215968087628,-11.305717054231785
AAVE,2024-01-16 16:00:00,104.3866921343651,2024-02-15 16:00:00,92.06853870136176,-11.800501750881798
AAVE,2024-01-16 17:00:00,104.42582695410704,2024-02-15 17:00:00,92.42543301826883,-11.491787315327775
AAVE,2024-01-16 18:00:00,103.67749397191528,2024-02-15 18:00:00,92.0564681239158,-11.208822091270303
AAVE,2024-01-16 19:00:00,103.24311859766446,2024-02-15 19:00:00,92.06394732280036,-10.828006192285821
AAVE,2024-01-16 20:00:00,103.62519813335292,2024-02-15 20:00:00,92.03454021976152,-11.185173222709446
AAVE,2024-01-16 21:00:00,103.56327005978216,2024-02-15 21:00:00,91.75578216977397,-11.401231231103738
AAVE,2024-01-16 22:00:00,104.36015747412512,2024-02-15 22:00:00,92.26980921466613,-11.585214656710969
AAVE,2024-01-16 23:00:00,103.99786722197624,2024-02-15 23:00:00,92.39144271946174,-11.160252428774708
AAVE,2024-01-17 00:00:00,103.30986454366966,2024-02-16 00:00:00,92.1025833532143,-10.848219809365814
AAVE,2024-01-17 01:00:00,103.38087351903536,2024-02-16 01:00:00,92.16238391624006,-10.85161038103403
AAVE,2024-01-17 02:00:00,103.53389813340378,2024-02-16 02:00:00,92.63062254631792,-10.531116652284211
AAVE,2024-01-17 03:00:00,103.3643806838886,2024-02-16 03:00:00,92.72539435849016,-10.292700691483688
AAVE,2024-01-17 04:00:00,102.26902051586812,2024-02-16 04:00:00,93.24854574640636,-8.82033945759961
AAVE,2024-01-17 05:00:00,102.0757326006114,2024-02-16 05:00:00,93.95193964626615,-7.958593827713159
AAVE,2024-01-17 06:00:00,101.4665338004451,2024-02-16 06:00:00,94.4861013977142,-6.879541599853381
AAVE,2024-01-17 07:00:00,101.19544511125528,2024-02-16 07:00:00,93.33062228522762,-7.771913861716798
AAVE,2024-01-17 08:00:00,101.25121221385032,2024-02-16 08:00:00,93.34835189268853,-7.805200696728795
AAVE,2024-01-17 09:00:00,101.90908017745332,2024-02-16 09:00:00,92.65836852085698,-9.077416497615483
AAVE,2024-01-17 10:00:00,101.51660178948296,2024-02-16 10:00:00,93.07930101132924,-8.311252178880386
AAVE,2024-01-17 11:00:00,101.65158073559049,2024-02-16 11:00:00,93.50169385592643,-8.017471858960079
AAVE,2024-01-17 12:00:00,101.37046658057818,2024-02-16 12:00:00,93.26126452478888,-7.999570613935557
AAVE,2024-01-17 13:00:00,101.19561389051005,2024-02-16 13:00:00,93.3223650098496,-7.780227401139152
